Global Unit,Organizational Unit,Date,Company,MHW (C + NC),MHW ( C ),# Employees (C+NC),# Employees (C)
TOTAL,TOTAL,2018-01-01,Contractors,1399046.0,1037086.0,8366.0,6321.0
TOTAL,TOTAL,2018-01-01,Company,298712.0,298712.0,1821.0,1821.0
TOTAL,TOTAL,2018-02-01,Contractors,1141278.05,832376.0,7716.0,6863.0
TOTAL,TOTAL,2018-02-01,Company,275205.0,275205.0,1849.0,1849.0
TOTAL,TOTAL,2018-03-01,Contractors,1214932.5,878397.8500000001,7335.0,6608.0
TOTAL,TOTAL,2018-03-01,Company,319180.75,319180.75,1862.0,1862.0
TOTAL,TOTAL,2018-04-01,Contractors,1555360.0,1170307.7,9893.0,9012.0
TOTAL,TOTAL,2018-04-01,Company,317657.0,317657.0,1881.0,1881.0
TOTAL,TOTAL,2018-05-01,Contractors,1339521.0,935379.0,7621.0,7155.0
TOTAL,TOTAL,2018-05-01,Company,332346.0,332346.0,1888.0,1888.0
TOTAL,TOTAL,2018-06-01,Company,323831.75,323831.75,1909.0,1909.0
TOTAL,TOTAL,2018-06-01,Contractors,1315611.0,940724.5499999999,7385.0,7155.0
TOTAL,TOTAL,2018-07-01,Contractors,1482257.0,1133284.95,9248.0,9083.0
TOTAL,TOTAL,2018-07-01,Company,361847.25,361847.25,1907.0,1907.0
TOTAL,TOTAL,2018-08-01,Contractors,1433013.0,1433013.0,8212.0,8212.0
TOTAL,TOTAL,2018-08-01,Company,333041.0,333041.0,1905.0,1905.0
TOTAL,TOTAL,2018-09-01,Contractors,1314211.0,1006814.0,8124.0,8124.0
TOTAL,TOTAL,2018-09-01,Company,324155.0,324155.0,1903.0,1903.0
TOTAL,TOTAL,2018-10-01,Contractors,1463012.0,1059010.0,8684.0,8684.0
TOTAL,TOTAL,2018-10-01,Company,341342.0,341342.0,1897.0,1897.0
TOTAL,TOTAL,2018-11-01,Contractors,1281798.0,1251944.0,7294.0,7294.0
TOTAL,TOTAL,2018-11-01,Company,332069.0,332069.0,1908.0,1908.0
TOTAL,TOTAL,2018-12-01,Contractors,1419251.0,1419251.0,9764.0,9764.0
TOTAL,TOTAL,2018-12-01,Company,331817.0,331817.0,1917.0,1917.0
Group Explorations Management,Group Explorations Management,2019-01-01,Contractors,0.0,0.0,0.0,0.0
Operations Vice Presidency,maintenance management,2019-01-01,Contractors,177572.0,177572.0,1035.0,1035.0
Operations Vice Presidency,maintenance management,2019-01-01,Company,20896.25,20896.25,126.0,126.0
Vice Presidency of Supply,Vice Presidency of Supply,2019-01-01,Company,459.0,459.0,3.0,3.0
Vice Presidency of Supply,Vice Presidency of Supply,2019-01-01,Contractors,0.0,0.0,0.0,0.0
Global Business Services & Technology,Technology,2019-01-01,Company,3875.75,3875.75,22.0,22.0
Vice Presidency of Supply,"Planning Management, Inventory. and Warehouses",2019-01-01,Contractors,129666.0,129666.0,598.0,598.0
Logistics and Site Services Management,Logistics and Site Services Management,2019-01-01,Company,13971.5,13971.5,72.0,72.0
Operations Vice Presidency,Concentrator Plant Management,2019-01-01,Company,37138.25,37138.25,228.0,228.0
Operations Vice Presidency,maintenance management,2019-01-01,Company,28722.25,28722.25,181.0,181.0
Operations Vice Presidency,Technical Services Management,2019-01-01,Contractors,45568.0,45568.0,266.0,266.0
SHE Vice Presidency,Health and Safety Management,2019-01-01,Contractors,9960.0,9960.0,57.0,57.0
SHE Vice Presidency,Health and Safety Management,2019-01-01,Company,5932.5,5932.5,31.0,31.0
Vice Presidency of Community Relations,Community Relations Management,2019-01-01,Company,16727.75,16727.75,102.0,102.0
Vice Presidency of Human Resources,Human Resources Management,2019-01-01,Contractors,2278.0,2278.0,13.0,13.0
Vice Presidency of Human Resources,Human Resources Management,2019-01-01,Company,2730.0,2730.0,15.0,15.0
Global Business Services & Technology,Global Business Services,2019-01-01,Company,3555.0,3555.0,20.0,20.0
Global Business Services & Technology,Global Business Services,2019-01-01,Contractors,0.0,0.0,0.0,0.0
Group Explorations Management,Group Explorations Management,2019-01-01,Company,438.0,438.0,2.0,2.0
Operations Vice Presidency,Technical Services Management,2019-01-01,Company,14895.5,14895.5,85.0,85.0
Operations Vice Presidency,maintenance management,2019-01-01,Contractors,74041.0,74041.0,1072.0,1072.0
Vice Presidency of Supply,"Planning Management, Inventory. and Warehouses",2019-01-01,Company,3618.0,3618.0,21.0,21.0
SHE Vice Presidency,Environment Management,2019-01-01,Contractors,2068.0,2068.0,19.0,19.0
Las Bambas Presidency,Executive Office,2019-01-01,Contractors,0.0,0.0,0.0,0.0
SHE Vice Presidency,SHE Vice Presidency,2019-01-01,Company,364.5,364.5,2.0,2.0
Development Vice Presidency,Regional Management of Technical Services,2019-01-01,Company,1350.0,1350.0,7.0,7.0
Development Vice Presidency,Regional Management of Technical Services,2019-01-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Community Relations,Vice Presidency of Community Relations,2019-01-01,Company,207.0,207.0,1.0,1.0
Vice Presidency of Community Relations,Vice Presidency of Community Relations,2019-01-01,Contractors,0.0,0.0,0.0,0.0
SHE Vice Presidency,SHE Vice Presidency,2019-01-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Project Services Management,2019-01-01,Company,5425.5,5425.5,27.0,27.0
Vice Presidency of Community Relations,Land Acquisition and Resettlement Management,2019-01-01,Company,1858.5,1858.5,9.0,9.0
Internal Protection Management,Internal Protection Management,2019-01-01,Contractors,28868.0,28868.0,138.0,138.0
Global Business Services & Technology,Technology,2019-01-01,Contractors,8760.0,8760.0,53.0,53.0
Development Vice Presidency,Pit3 Management,2019-01-01,Contractors,4320.0,4320.0,43.0,43.0
Development Vice Presidency,Pit3 Management,2019-01-01,Company,1954.5,1954.5,10.0,10.0
Development Vice Presidency,Environmental Permits Management,2019-01-01,Contractors,1148.0,1148.0,12.0,12.0
Development Vice Presidency,Environmental Permits Management,2019-01-01,Company,1249.5,1249.5,6.0,6.0
Commercial Vice Presidency,Commercial Vice Presidency,2019-01-01,Company,1369.5,1369.5,8.0,8.0
Vice Presidency of Community Relations,Land Acquisition and Resettlement Management,2019-01-01,Contractors,0.0,0.0,0.0,0.0
Operations Vice Presidency,Mine Operations Management,2019-01-01,Contractors,70625.0,70625.0,367.0,367.0
Operations Vice Presidency,Mine Operations Management,2019-01-01,Company,121690.75,121690.75,736.0,736.0
SHE Vice Presidency,Environment Management,2019-01-01,Company,2667.0,2667.0,14.0,14.0
Internal Protection Management,Internal Protection Management,2019-01-01,Company,1386.0,1386.0,7.0,7.0
Vice Presidency of Community Relations,Community Relations Management,2019-01-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Supply,Procurement Management - Projects,2019-01-01,Company,414.0,414.0,2.0,2.0
Vice Presidency of Human Resources,Vice Presidency of Human Resources,2019-01-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Resources Development Management,2019-01-01,Company,7098.0,7098.0,38.0,38.0
Las Bambas Presidency,Executive Office,2019-01-01,Company,951.6521739130435,951.6521739130435,5.0,5.0
Vice Presidency of Human Resources,Development and Training Management,2019-01-01,Company,1687.5,1687.5,11.0,11.0
Vice President of Projects,Studies Management,2019-01-01,Company,1708.5,1708.5,9.0,9.0
Vice Presidency of Operational Excellence,Vice Presidency of Operational Excellence,2019-01-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Human Resources,Development and Training Management,2019-01-01,Contractors,0.0,0.0,0.0,0.0
Vice President of Projects,Studies Management,2019-01-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Development Vice Presidency,2019-01-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Legal Affairs,Management of Mining Legal Affairs,2019-01-01,Company,849.0,849.0,4.0,4.0
Development Vice Presidency,Development Vice Presidency,2019-01-01,Company,324.0,324.0,2.0,2.0
Vice Presidency of Legal Affairs,Vice Presidency of Legal Affairs,2019-01-01,Company,738.0,738.0,4.0,4.0
Commercial Vice Presidency,finance management,2019-01-01,Company,1626.0,1626.0,8.0,8.0
Commercial Vice Presidency,finance management,2019-01-01,Contractors,0.0,0.0,0.0,0.0
Commercial Vice Presidency,Tax Management,2019-01-01,Company,864.0,864.0,5.0,5.0
Commercial Vice Presidency,Tax Management,2019-01-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Operational Excellence,Vice Presidency of Operational Excellence,2019-01-01,Company,3483.5,3483.5,18.0,18.0
Development Vice Presidency,Project Services Management,2019-01-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Corporate Affairs,Vice Presidency of Corporate Affairs,2019-01-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Supply,Procurement Management - Projects,2019-01-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Legal Affairs,Vice Presidency of Legal Affairs,2019-01-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Legal Affairs,Management of Mining Legal Affairs,2019-01-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Corporate Affairs,Vice Presidency of Corporate Affairs,2019-01-01,Company,603.0,603.0,3.0,3.0
Vice Presidency of Corporate Affairs,Public Affairs Management,2019-01-01,Company,396.0,396.0,2.0,2.0
Vice Presidency of Human Resources,Vice Presidency of Human Resources,2019-01-01,Company,603.0,603.0,3.0,3.0
Logistics and Site Services Management,Logistics and Site Services Management,2019-01-01,Contractors,406638.48333333334,116179.15,2136.0,1950.0
Commercial Vice Presidency,Commercial Vice Presidency,2019-01-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Engineering Management,2019-01-01,Contractors,93349.0,22376.4,442.0,114.0
Development Vice Presidency,Resources Development Management,2019-01-01,Contractors,51409.0,51409.0,259.0,259.0
Development Vice Presidency,Engineering Management,2019-01-01,Company,126.0,126.0,1.0,1.0
Operations Vice Presidency,Operations Vice Presidency,2019-01-01,Company,462.0,462.0,2.0,2.0
Operations Vice Presidency,Operations Vice Presidency,2019-01-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Community Relations,Social Development Management,2019-01-01,Contractors,0.0,0.0,0.0,0.0
Operations Vice Presidency,Concentrator Plant Management,2019-01-01,Contractors,14416.0,14416.0,104.0,104.0
Vice Presidency of Supply,Contracting Management,2019-01-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Corporate Affairs,Public Affairs Management,2019-01-01,Contractors,552.0,552.0,2.0,2.0
Vice Presidency of Supply,Contracting Management,2019-01-01,Company,2502.0,2502.0,14.0,14.0
Vice President of Projects,Vice President of Projects,2019-01-01,Company,7324.5,7324.5,37.0,37.0
Vice President of Projects,Vice President of Projects,2019-01-01,Contractors,152391.2,152391.2,1021.0,1021.0
Vice Presidency of Corporate Affairs,Communications Management,2019-01-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Corporate Affairs,Communications Management,2019-01-01,Company,2745.0,2745.0,14.0,14.0
Vice Presidency of Corporate Affairs,Regional Public Affairs Management,2019-01-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Corporate Affairs,Regional Public Affairs Management,2019-01-01,Company,990.0,990.0,6.0,6.0
Vice Presidency of Community Relations,Social Development Management,2019-01-01,Company,2739.0,2739.0,14.0,14.0
Vice Presidency of Human Resources,Vice Presidency of Human Resources,2019-02-01,Company,495.0,495.0,3.0,3.0
SHE Vice Presidency,Health and Safety Management,2019-02-01,Contractors,9672.0,9672.0,56.0,56.0
Global Business Services & Technology,Global Business Services,2019-02-01,Contractors,190.0,190.0,1.0,1.0
Group Explorations Management,Group Explorations Management,2019-02-01,Company,726.0,726.0,4.0,4.0
SHE Vice Presidency,Health and Safety Management,2019-02-01,Company,5208.0,5208.0,32.0,32.0
Internal Protection Management,Internal Protection Management,2019-02-01,Contractors,28868.0,28868.0,138.0,138.0
Global Business Services & Technology,Global Business Services,2019-02-01,Company,3375.0,3375.0,21.0,21.0
Group Explorations Management,Group Explorations Management,2019-02-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Human Resources,Vice Presidency of Human Resources,2019-02-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Development Vice Presidency,2019-02-01,Contractors,0.0,0.0,0.0,0.0
Operations Vice Presidency,Operations Vice Presidency,2019-02-01,Company,399.0,399.0,2.0,2.0
Logistics and Site Services Management,Logistics and Site Services Management,2019-02-01,Company,12400.75,12400.75,74.0,74.0
Development Vice Presidency,Engineering Management,2019-02-01,Company,199.5,199.5,1.0,1.0
Vice Presidency of Corporate Affairs,Vice Presidency of Corporate Affairs,2019-02-01,Company,540.0,540.0,3.0,3.0
Vice Presidency of Corporate Affairs,Vice Presidency of Corporate Affairs,2019-02-01,Contractors,0.0,0.0,0.0,0.0
Commercial Vice Presidency,Tax Management,2019-02-01,Contractors,0.0,0.0,0.0,0.0
Commercial Vice Presidency,Tax Management,2019-02-01,Company,747.0,747.0,5.0,5.0
Las Bambas Presidency,Executive Office,2019-02-01,Contractors,0.0,0.0,0.0,0.0
Commercial Vice Presidency,finance management,2019-02-01,Contractors,0.0,0.0,0.0,0.0
SHE Vice Presidency,SHE Vice Presidency,2019-02-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Legal Affairs,Management of Mining Legal Affairs,2019-02-01,Company,711.0,711.0,4.0,4.0
Development Vice Presidency,Project Services Management,2019-02-01,Company,4618.5,4618.5,27.0,27.0
Vice Presidency of Human Resources,Human Resources Management,2019-02-01,Company,2856.0,2856.0,15.0,15.0
Commercial Vice Presidency,finance management,2019-02-01,Company,1198.5,1198.5,8.0,8.0
Las Bambas Presidency,Executive Office,2019-02-01,Company,915.0,915.0,6.0,6.0
Vice Presidency of Community Relations,Community Relations Management,2019-02-01,Contractors,0.0,0.0,0.0,0.0
Operations Vice Presidency,Concentrator Plant Management,2019-02-01,Contractors,16457.0,16457.0,116.0,116.0
Operations Vice Presidency,Concentrator Plant Management,2019-02-01,Company,34619.5,34619.5,235.0,235.0
Vice Presidency of Supply,Procurement Management - Projects,2019-02-01,Company,360.0,360.0,2.0,2.0
Vice Presidency of Community Relations,Land Acquisition and Resettlement Management,2019-02-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Community Relations,Land Acquisition and Resettlement Management,2019-02-01,Company,1680.0,1680.0,9.0,9.0
Operations Vice Presidency,Technical Services Management,2019-02-01,Contractors,48798.0,48798.0,254.0,254.0
Vice Presidency of Supply,"Planning Management, Inventory. and Warehouses",2019-02-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Supply,"Planning Management, Inventory. and Warehouses",2019-02-01,Company,3016.5,3016.5,21.0,21.0
Development Vice Presidency,Project Services Management,2019-02-01,Contractors,0.0,0.0,0.0,0.0
Operations Vice Presidency,Technical Services Management,2019-02-01,Company,14395.5,14395.5,88.0,88.0
Vice Presidency of Corporate Affairs,Public Affairs Management,2019-02-01,Company,360.0,360.0,2.0,2.0
Vice Presidency of Supply,Procurement Management - Projects,2019-02-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Corporate Affairs,Public Affairs Management,2019-02-01,Contractors,380.0,380.0,2.0,2.0
Vice Presidency of Community Relations,Community Relations Management,2019-02-01,Company,13674.0,13674.0,102.0,102.0
SHE Vice Presidency,SHE Vice Presidency,2019-02-01,Company,379.5,379.5,2.0,2.0
Vice Presidency of Human Resources,Human Resources Management,2019-02-01,Contractors,1596.0,1596.0,11.0,11.0
Vice Presidency of Legal Affairs,Management of Mining Legal Affairs,2019-02-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Legal Affairs,Vice Presidency of Legal Affairs,2019-02-01,Company,720.0,720.0,4.0,4.0
Internal Protection Management,Internal Protection Management,2019-02-01,Company,1123.5,1123.5,6.0,6.0
Vice Presidency of Supply,Contracting Management,2019-02-01,Company,2331.0,2331.0,14.0,14.0
Vice Presidency of Corporate Affairs,Regional Public Affairs Management,2019-02-01,Contractors,0.0,0.0,0.0,0.0
Global Business Services & Technology,Technology,2019-02-01,Company,3745.5,3745.5,22.0,22.0
Global Business Services & Technology,Technology,2019-02-01,Contractors,11022.5,11022.5,57.0,57.0
Development Vice Presidency,Environmental Permits Management,2019-02-01,Contractors,160.0,160.0,4.0,4.0
Development Vice Presidency,Environmental Permits Management,2019-02-01,Company,1146.0,1146.0,7.0,7.0
Operations Vice Presidency,Mine Operations Management,2019-02-01,Contractors,59905.0,59905.0,306.0,306.0
Operations Vice Presidency,Mine Operations Management,2019-02-01,Company,114388.0,114388.0,745.0,745.0
Commercial Vice Presidency,Commercial Vice Presidency,2019-02-01,Contractors,0.0,0.0,0.0,0.0
Vice President of Projects,Vice President of Projects,2019-02-01,Contractors,328877.0,328877.0,2007.0,2007.0
Vice Presidency of Corporate Affairs,Regional Public Affairs Management,2019-02-01,Company,964.5,964.5,6.0,6.0
SHE Vice Presidency,Environment Management,2019-02-01,Contractors,12128.0,12128.0,83.0,83.0
Operations Vice Presidency,maintenance management,2019-02-01,Contractors,178905.0,178905.0,1008.0,1008.0
Vice Presidency of Supply,Vice Presidency of Supply,2019-02-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Supply,Vice Presidency of Supply,2019-02-01,Company,450.0,450.0,3.0,3.0
Development Vice Presidency,Regional Management of Technical Services,2019-02-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Regional Management of Technical Services,2019-02-01,Company,1377.0,1377.0,9.0,9.0
Operations Vice Presidency,maintenance management,2019-02-01,Company,18913.75,18913.75,127.0,127.0
Operations Vice Presidency,maintenance management,2019-02-01,Company,27337.0,27337.0,185.0,185.0
Operations Vice Presidency,maintenance management,2019-02-01,Contractors,76316.5,76316.5,769.0,769.0
Vice Presidency of Legal Affairs,Vice Presidency of Legal Affairs,2019-02-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Corporate Affairs,Communications Management,2019-02-01,Company,2535.0,2535.0,14.0,14.0
Development Vice Presidency,Pit3 Management,2019-02-01,Company,1846.5,1846.5,10.0,10.0
Vice Presidency of Corporate Affairs,Communications Management,2019-02-01,Contractors,0.0,0.0,0.0,0.0
SHE Vice Presidency,Environment Management,2019-02-01,Company,2415.0,2415.0,15.0,15.0
Development Vice Presidency,Pit3 Management,2019-02-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Development Vice Presidency,2019-02-01,Company,540.0,540.0,3.0,3.0
Vice President of Projects,Studies Management,2019-02-01,Contractors,0.0,0.0,0.0,0.0
Logistics and Site Services Management,Logistics and Site Services Management,2019-02-01,Contractors,433531.5,124456.35,2371.0,2332.0
Vice President of Projects,Studies Management,2019-02-01,Company,1545.0,1545.0,9.0,9.0
Vice Presidency of Operational Excellence,Vice Presidency of Operational Excellence,2019-02-01,Company,3100.0,3100.0,19.0,19.0
Vice Presidency of Operational Excellence,Vice Presidency of Operational Excellence,2019-02-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Human Resources,Development and Training Management,2019-02-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Human Resources,Development and Training Management,2019-02-01,Company,1933.5,1933.5,13.0,13.0
Operations Vice Presidency,Operations Vice Presidency,2019-02-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Supply,Contracting Management,2019-02-01,Contractors,672.0,672.0,4.0,4.0
Vice Presidency of Community Relations,Social Development Management,2019-02-01,Company,2259.0,2259.0,13.0,13.0
Vice Presidency of Community Relations,Social Development Management,2019-02-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Resources Development Management,2019-02-01,Company,5803.75,5803.75,36.0,36.0
Vice Presidency of Community Relations,Vice Presidency of Community Relations,2019-02-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Community Relations,Vice Presidency of Community Relations,2019-02-01,Company,180.0,180.0,1.0,1.0
Development Vice Presidency,Engineering Management,2019-02-01,Contractors,83946.0,24934.6,421.0,133.0
Commercial Vice Presidency,Commercial Vice Presidency,2019-02-01,Company,1326.0,1326.0,9.0,9.0
Vice President of Projects,Vice President of Projects,2019-02-01,Company,6552.0,6552.0,37.0,37.0
Development Vice Presidency,Resources Development Management,2019-02-01,Contractors,48364.0,48364.0,273.0,273.0
Vice Presidency of Supply,Procurement Management - Projects,2019-03-01,Contractors,0.0,0.0,0.0,0.0
Global Business Services & Technology,Global Business Services,2019-03-01,Contractors,0.0,0.0,0.0,0.0
Group Explorations Management,Group Explorations Management,2019-03-01,Company,661.5,661.5,3.0,3.0
Operations Vice Presidency,maintenance management,2019-03-01,Contractors,180893.0,180893.0,1039.0,1039.0
Internal Protection Management,Internal Protection Management,2019-03-01,Contractors,28868.0,28868.0,138.0,138.0
Internal Protection Management,Internal Protection Management,2019-03-01,Company,1428.0,1428.0,8.0,8.0
Operations Vice Presidency,maintenance management,2019-03-01,Company,21071.75,21071.75,127.0,127.0
Group Explorations Management,Group Explorations Management,2019-03-01,Contractors,0.0,0.0,0.0,0.0
Global Business Services & Technology,Global Business Services,2019-03-01,Company,3987.0,3987.0,24.0,24.0
Development Vice Presidency,Engineering Management,2019-03-01,Contractors,84245.0,20225.0,384.0,96.0
Vice Presidency of Supply,Vice Presidency of Supply,2019-03-01,Company,567.0,567.0,3.0,3.0
Vice Presidency of Supply,Vice Presidency of Supply,2019-03-01,Contractors,0.0,0.0,0.0,0.0
Logistics and Site Services Management,Logistics and Site Services Management,2019-03-01,Contractors,412706.4833,182795.0,2489.0,2311.0
Development Vice Presidency,Engineering Management,2019-03-01,Company,210.0,210.0,1.0,1.0
Vice Presidency of Human Resources,Human Resources Management,2019-03-01,Company,2614.5,2614.5,14.0,14.0
Vice Presidency of Human Resources,Human Resources Management,2019-03-01,Contractors,682.0,682.0,2.0,2.0
Las Bambas Presidency,Executive Office,2019-03-01,Contractors,0.0,0.0,0.0,0.0
Operations Vice Presidency,maintenance management,2019-03-01,Contractors,52176.0,52176.0,315.0,315.0
Operations Vice Presidency,maintenance management,2019-03-01,Company,30641.5,30641.5,184.0,184.0
Vice Presidency of Community Relations,Community Relations Management,2019-03-01,Company,18369.15625,18369.15625,95.0,95.0
Development Vice Presidency,Regional Management of Technical Services,2019-03-01,Company,2421.0,2421.0,15.0,15.0
Vice Presidency of Legal Affairs,Management of Mining Legal Affairs,2019-03-01,Contractors,0.0,0.0,0.0,0.0
Commercial Vice Presidency,Tax Management,2019-03-01,Company,756.0,756.0,5.0,5.0
Vice Presidency of Corporate Affairs,Communications Management,2019-03-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Community Relations,Social Development Management,2019-03-01,Company,0.0,0.0,0.0,0.0
Vice Presidency of Supply,Contracting Management,2019-03-01,Company,2457.0,2457.0,14.0,14.0
Vice Presidency of Corporate Affairs,Regional Public Affairs Management,2019-03-01,Company,1155.0,1155.0,6.0,6.0
Vice Presidency of Corporate Affairs,Regional Public Affairs Management,2019-03-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Corporate Affairs,Public Affairs Management,2019-03-01,Company,378.0,378.0,2.0,2.0
Vice Presidency of Corporate Affairs,Public Affairs Management,2019-03-01,Contractors,0.0,0.0,0.0,0.0
Vice President of Projects,Vice President of Projects,2019-03-01,Contractors,251382.5,251382.5,1784.0,1784.0
Vice Presidency of Community Relations,Social Development Management,2019-03-01,Contractors,0.0,0.0,0.0,0.0
